ID,PERMIT#,  PERMIT_TYPE,         ISSUE_DATE,        ESTIMATED_COST,         AMOUNT_WAIVED,   AMOUNT_PAID,    TOTAL_FEE,STREET_NUMBER,STREET DIRECTION,STREET_NAME,  SUFFIX,WORK_DESCRIPTION,   PIN1,   PIN2,  PIN3,  PIN4, PIN5, PIN6, PIN7, PIN8, PIN9,     PIN10,CONTRACTOR_1_TYPE,CONTRACTOR_1_NAME,CONTRACTOR_1_ADDRESS,CONTRACTOR_1_CITY,CONTRACTOR_1_STATE,CONTRACTOR_1_ZIPCODE,CONTRACTOR_1_PHONE,CONTRACTOR_2_TYPE,CONTRACTOR_2_NAME,CONTRACTOR_2_ADDRESS,CONTRACTOR_2_CITY,CONTRACTOR_2_STATE,CONTRACTOR_2_ZIPCODE,CONTRACTOR_2_PHONE,CONTRACTOR_3_TYPE,CONTRACTOR_3_NAME,CONTRACTOR_3_ADDRESS,CONTRACTOR_3_CITY,CONTRACTOR_3_STATE,CONTRACTOR_3_ZIPCODE,CONTRACTOR_3_PHONE,CONTRACTOR_4_TYPE,CONTRACTOR_4_NAME,CONTRACTOR_4_ADDRESS,CONTRACTOR_4_CITY,CONTRACTOR_4_STATE,CONTRACTOR_4_ZIPCODE,CONTRACTOR_4_PHONE,CONTRACTOR_5_TYPE,CONTRACTOR_5_NAME,CONTRACTOR_5_ADDRESS,CONTRACTOR_5_CITY,CONTRACTOR_5_STATE,CONTRACTOR_5_ZIPCODE,CONTRACTOR_5_PHONE,CONTRACTOR_6_TYPE,CONTRACTOR_6_NAME,CONTRACTOR_6_ADDRESS,CONTRACTOR_6_CITY,CONTRACTOR_6_STATE,CONTRACTOR_6_ZIPCODE,CONTRACTOR_6_PHONE,CONTRACTOR_7_TYPE,CONTRACTOR_7_NAME,CONTRACTOR_7_ADDRESS,CONTRACTOR_7_CITY,CONTRACTOR_7_STATE,CONTRACTOR_7_ZIPCODE,CONTRACTOR_7_PHONE,CONTRACTOR_8_TYPE,CONTRACTOR_8_NAME,CONTRACTOR_8_ADDRESS,CONTRACTOR_8_CITY,CONTRACTOR_8_STATE,CONTRACTOR_8_ZIPCODE,CONTRACTOR_8_PHONE,CONTRACTOR_9_TYPE,CONTRACTOR_9_NAME,CONTRACTOR_9_ADDRESS,CONTRACTOR_9_CITY,CONTRACTOR_9_STATE,CONTRACTOR_9_ZIPCODE,CONTRACTOR_9_PHONE,CONTRACTOR_10_TYPE,CONTRACTOR_10_NAME,CONTRACTOR_10_ADDRESS,CONTRACTOR_10_CITY,CONTRACTOR_10_STATE,CONTRACTOR_10_ZIPCODE,CONTRACTOR_10_PHONE,CONTRACTOR_11_TYPE,CONTRACTOR_11_NAME,CONTRACTOR_11_ADDRESS,CONTRACTOR_11_CITY,CONTRACTOR_11_STATE,CONTRACTOR_11_ZIPCODE,CONTRACTOR_11_PHONE,CONTRACTOR_12_TYPE,CONTRACTOR_12_NAME,CONTRACTOR_12_ADDRESS,CONTRACTOR_12_CITY,CONTRACTOR_12_STATE,CONTRACTOR_12_ZIPCODE,CONTRACTOR_12_PHONE,CONTRACTOR_13_TYPE,CONTRACTOR_13_NAME,CONTRACTOR_13_ADDRESS,CONTRACTOR_13_CITY,CONTRACTOR_13_STATE,CONTRACTOR_13_ZIPCODE,CONTRACTOR_13_PHONE,CONTRACTOR_14_TYPE,CONTRACTOR_14_NAME,CONTRACTOR_14_ADDRESS,CONTRACTOR_14_CITY,CONTRACTOR_14_STATE,CONTRACTOR_14_ZIPCODE,CONTRACTOR_14_PHONE,CONTRACTOR_15_TYPE,CONTRACTOR_15_NAME,CONTRACTOR_15_ADDRESS,CONTRACTOR_15_CITY,CONTRACTOR_15_STATE,CONTRACTOR_15_ZIPCODE,CONTRACTOR_15_PHONE,LATITUDE,LONGITUDE,LOCATION
2734106,100637362,PERMIT - NEW CONSTRUCTION,03/22/2016,$20000.00,$0.00,$525.00,$525.00,1118,N,STATE,ST,INSTALL FREE STANDING LIEBHERR 316 EC-H 12 LITRONIC TOWER CRANE,,,,,,,,,,,OWNER,EVAN MEISTER,540 W MADISON 25TH FLOOR,CHICAGO,IL,60661,,STRUCTURAL ENGINEER,CONNOLLY EAMONN F.,,,,,,CONTRACTOR-GENERAL CONTRACTOR,JAMES MCHUGH CONSTRUCTION CO,1737 S MICHIGAN AVE,CHICAGO,IL,60616-,(312)986-8000 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.902311916,-87.628497381,"(41.902311915686454, -87.62849738136275)"
2709972,100624621,PERMIT - NEW CONSTRUCTION,03/25/2016,$60000.00,$0.00,$525.00,$525.00,2330,N,HALSTED,ST,"FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF A MANTIOWOC MD485 TEMPORARY TOWER CRANE, AS PER PLANS.",,,,,,,,,,,OWNER OCCUPIED,BOB JANIS,247 SOUTH STATE STREET SUITE 600,CHICAGO,IL,60604,,STRUCTURAL ENGINEER,KOHOUT CHRISTOPHER,,,,,,CONTRACTOR-GENERAL CONTRACTOR,"BULLEY & ANDREWS, L.L.C.",1755 W. ARMITAGE AVE.,CHICAGO,IL,60622-,(773)235-2433 x,MASONRY CONTRACTOR,CECO CONCRETE CONSTRUCTION LLC,1315 E. GARTHER,NAPERVILLE,IL,60540,(630)852-0505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.924567606,-87.648875182,"(41.92456760597094, -87.64887518194728)"
2732226,100636252,PERMIT - NEW CONSTRUCTION,03/25/2016,$60000.00,$0.00,$525.00,$525.00,1035,W,VAN BUREN,ST,"PHASE 1 FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF A LIEBHERR EC-12 LITRONIC TEMPORARY TOWER CRANE, AS PER PLANS.",17-17-231-005-0000,,,,,,,,,,STRUCTURAL ENGINEER,KOHOUT CHRISTOPHER,,,,,,CONTRACTOR-GENERAL CONTRACTOR,"LEND LEASE (US) CONSTRUCTION,",ONE N WACKER DRIVE SUITE 850,CHICAGO,IL,60606,(312)245-1000,MASONRY CONTRACTOR,PEPPER CONSTRUCTION CO.,643 N. ORLEANS ST.,CHICAGO,IL,60610,(312)266-4700,OWNER,"1035 WEST VAN BUREN PARTNERS, LLC",350 W HUBBARD ST,CHICAGO,IL,60654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.876469561,-87.65332116,"(41.87646956053208, -87.65332115999061)"
2735148,100637956,PERMIT - NEW CONSTRUCTION,03/31/2016,$20000.00,$0.00,$525.00,$525.00,905,N,ORLEANS,ST,TIED-IN LIEBHERR 316-H 12 LITRONIC TOWER CRANE PHASE 2,17-04-429-015-0000,,,,,,,,,,OWNER,BILL WOLK,912 W. LAKE STREET,CHICAGO,IL,60607,,STRUCTURAL ENGINEER,CONNOLLY EAMONN F.,,,,,,CONTRACTOR-GENERAL CONTRACTOR,JAMES MCHUGH CONSTRUCTION CO,1737 S MICHIGAN AVE,CHICAGO,IL,60616-,(312)986-8000 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.89911359,-87.637121922,"(41.8991135902928, -87.6371219220224)"
2731488,100635862,PERMIT - NEW CONSTRUCTION,04/29/2016,$60000.00,$0.00,$525.00,$525.00,30,E,BALBO,AVE,"FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF A PEINER SK415 TEMPORARY TOWER CRANE, AS PER PLANS.",,,,,,,,,,,OWNER OCCUPIED,JOHN KEEGAN SHAWN ZIMNY,225 W. WACKER DRIVE SUITE 2160,CHICAGO,IL,60606,,STRUCTURAL ENGINEER,KOHOUT CHRISTOPHER,,,,,,CONTRACTOR-GENERAL CONTRACTOR,"POWER CONSTRUCTION COMPANY, LL",8750 W. BRYN MAWR AVENUE SUITE 500,CHICAGO,IL,60631-3546,(847)925-1300,MASONRY CONTRACTOR,ADJUSTABLE FORMS INC.,1 E. PROGRESS RD.,LOMBARD,IL,60148,(630)953-8700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.873221664,-87.626502826,"(41.873221664003104, -87.62650282636324)"
2739492,100640411,PERMIT - NEW CONSTRUCTION,04/29/2016,$60000.00,$0.00,$525.00,$525.00,1330,W,FULTON,ST,"INSTALLATION AND OPERATION OF A TEMPORARY TOWER CRANE: TEREX PEINER SK415, AS PER PLANS.",17-08-313-003-0000,17-08-313-004-0000,,,,,,,,,STRUCTURAL ENGINEER,KOHOUT CHRISTOPHER,,,,,,CONTRACTOR-GENERAL CONTRACTOR,LEOPARDO COMPANIES INC,5200 PRAIRIE STONE PARKWAY,HOFFMAN EST,IL,60192-,(847)783-3410 x,MASONRY CONTRACTOR,ADJUSTABLE FORMS INC.,1 E. PROGRESS RD.,LOMBARD,IL,60148,(630)953-8700,OWNER,"PATRICK AYLWARD STERLING BAY, INC.",1040 WEST RANDOLPH STREET,CHICAGO,IL,60607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.88673895,-87.660157707,"(41.88673894981951, -87.66015770724567)"
2734850,100637787,PERMIT - NEW CONSTRUCTION,05/05/2016,$60000.00,$0.00,$525.00,$525.00,750,N,HUDSON,AVE,"PHASE 2: TIE-IN AND CLIMB SCHEDULE FOR A PEINER SK-415 TEMPORARY TOWER CRANE, AS PER PLANS.",,,,,,,,,,,OWNER OCCUPIED,ONNI GROUP CASEY MARSICO,200 NORTH LASALLE ST. SUITE 300,CHICAGO,IL,60601,,STRUCTURAL ENGINEER,KOHOUT CHRISTOPHER,,,,,,CONTRACTOR-GENERAL CONTRACTOR,ONNI CONTRACTING (CHICAGO) INC,200 N LASALLE SUITE 300,CHICAGO,IL,60601-,(312)346-1400 x,MASONRY CONTRACTOR,CONCRETE STRUCTURES OF THE,143 BRYANT AVENUE,GLEN ELLYN,IL,60137,(630)293-5775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.896315654,-87.640191494,"(41.89631565351528, -87.6401914936887)"
2731474,100635854,PERMIT - NEW CONSTRUCTION,05/10/2016,$60000.00,$0.00,$525.00,$525.00,171,N,ABERDEEN,ST,"FOUNDATION PERMIT FOR THE INSTALLATION AND OPERATION OF THE PEINER SK415 TEMPORARY TOWER CRANE, AS PER PLANS.",,,,,,,,,,,OWNER OCCUPIED,TODD MULLEN,1555 NORTH SHEFFIELD AVENUE,CHICAGO,IL,60622,,STRUCTURAL ENGINEER,KOHOUT CHRISTOPHER,,,,,,CONTRACTOR-GENERAL CONTRACTOR,NOVAK CONSTRUCTION COMPANY,3423 N. DRAKE AVENUE,CHICAGO,IL,60618-,(773)278-1100 x,MASONRY CONTRACTOR,R. OLSON CONST. CO.,170 NORTH GARDEN AVENUE,ROSELLE,IL,60172,(630)894-2820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.885144989,-87.654315367,"(41.88514498935212, -87.65431536717279)"
2749345,100646408,PERMIT - NEW CONSTRUCTION,05/10/2016,$20000.00,$0.00,$525.00,$525.00,822,N,CLARK,ST,INSTALL FREE STANDING LIEBHERR 316 EC-H 12 LITRONIC TOWER CRANE,,,,,,,,,,,OWNER,DANIEL HOLT,50 E. NORTH TEMPLE STR 4WW,SALT LAKE CITY,UT,84150,,STRUCTURAL ENGINEER,CONNOLLY EAMONN F.,,,,,,CONTRACTOR-GENERAL CONTRACTOR,JAMES MCHUGH CONSTRUCTION CO,1737 S MICHIGAN AVE,CHICAGO,IL,60616-,(312)986-8000 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.897360878,-87.631409981,"(41.897360878137725, -87.63140998090807)"
2734846,100637786,PERMIT - NEW CONSTRUCTION,05/18/2016,$60000.00,$0.00,$525.00,$525.00,2121,S,PRAIRIE,AVE,"PHASE 2: TIE-IN AND CLIMB SCHEDULE FOR TEREX PEINER SK-415 TEMPORARY TOWER CRANE, AS PER PLANS.",,,,,,,,,,,OWNER OCCUPIED,"MPEA, JOHN NICOLLS",301 EAST CERMAK ROAD,CHICAGO,IL,60616,,STRUCTURAL ENGINEER,KOHOUT CHRISTOPHER,,,,,,CONTRACTOR-GENERAL CONTRACTOR,CLARK CONSTRUCTION GROUP CHICA,216 SOUTH JEFFERSON SUITE 502,CHICAGO,IL,60661,(312)474-5500,MASONRY CONTRACTOR,CONCRETE STRUCTURES OF THE,143 BRYANT AVENUE,GLEN ELLYN,IL,60137,(630)293-5775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.853650885,-87.620533581,"(41.853650885040594, -87.62053358114167)"
2733248,100636843,PERMIT - NEW CONSTRUCTION,05/23/2016,$50000.00,$0.00,$525.00,$525.00,401,N,MICHIGAN,AVE,TOWER CRANE INSTALLATION AT PLAZA FOR  PROPOSED 1-STORY RETAIL ADDITION.,17-10-216-039-0000,,,,,,,,,,STRUCTURAL ENGINEER,KURT CHRISTOPHER,,,,,,EXPEDITOR,"BURNHAM NATIONWIDE, INC.",111 W. WASHINGTON ST. APT./SUITE 450,CHICAGO,IL,60602-,(312)260-7086 x,CONTRACTOR-GENERAL CONTRACTOR,"POWER CONSTRUCTION COMPANY, LL",8750 W. BRYN MAWR AVENUE SUITE 500,CHICAGO,IL,60631-3546,(847)925-1300,OWNER,POWER CONSTRUCTION CO. PETE HUEY,"8750 W. BRYN MAWR AVENUE, SUITE 500",CHICAGO,IL,60631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.889354252,-87.624102456,"(41.88935425192819, -87.62410245624348)"
