description,players,cost_est,issue_date,issue_year,issue_month,issue_day,address,lat,lng,boundaries,permit_number,_permit_year
work Description,"Contractors, Architects, Owners",Est. Cost,Issue Date,,,,Address,Latitude,Longitude,,Permit number,
"**REVISION TO PERMIT #100649968.PHASE 4 AND PHASE 5, TIE-IN AND CLIMB SCHEDULE OF A TEMPORARY TOWER CRANE: MANITOWOC MDT368A, AS PER PLANS.","Scott TimcoeKohout ChristopherLend Lease (Us) Construction,Tribco Construction Services","$60,000.00",11/28/2016,2016,11,28,9 W Walton St,41.8998210,-87.6286990,"2 (ward)NEAR NORTH SIDE (communityarea)Near North (neighborhood)60610 (zip)North (township)District 18, Beat 1832 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100670174,2016
TIED-IN LIEBHERR 316 EC-H 12 LITRONIC TOWER CRANE - PHASES 2 & 3,Randy GruebConnolly Eamonn F.James Mchugh Construction Co,"$20,000.00",11/16/2016,2016,11,16,311 W Illinois St,41.8906480,-87.6360600,"42 (ward)NEAR NORTH SIDE (communityarea)River North (neighborhood)60654 (zip)North (township)District 18, Beat 1831 (chipolicebeat)District 18 - Near North (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Sonya M. Harper (6th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100677509,2016
"FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF A PEINER SK415 TEMPORARY TOWER CRANE, AS PER PLANS.","1025 West Addison Jim GlossonKohout ChristopherPower Construction Company, LlConcrete Structures Of The","$60,000.00",11/4/2016,2016,11,4,1025 W Addison St,41.9471170,-87.6553810,"44 (ward)LAKE VIEW (communityarea)Wrigleyville (neighborhood)60613 (zip)Lake View (township)17 (ssa)District 19, Beat 1924 (chipolicebeat)District 19 - Town Hall (chipolicedistrict)10 (cookcountydistrict)Sara Feigenholtz (12th) (illinoishouse)John J. Cullerton (6th) (illinoissenate)Lake View Hs (HS) (cpsattendance)",100668266,2016
"PHASE 1 FOUNDATION AND INSTALLATION PERMIT FOR A MANITOWOC MD485 TOWER CRANE, AS PER PLANS.","Solstice On The Park, LlcKohout ChristopherLinn-Mathes IncAdjustable Forms Inc.","$60,000.00",11/4/2016,2016,11,4,1616 E 56th St,41.7935060,-87.5857550,"5 (ward)HYDE PARK (communityarea)East Hyde Park (neighborhood)60615 (zip)Hyde Park (township)District 02, Beat 0235 (chipolicebeat)District 2 - Wentworth (chipolicedistrict)3 (cookcountydistrict)Barbara Flynn Currie (25th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Harte (ES) (cpsattendance)",100673429,2016
PHASE 3: TEMPORARY CONSTRUCTION OF WORLD FREE STANDING TOWER CRANE MODEL POTAIN MR608 TYPE: LUFFING JIB,"Buck Development Franklin, LlcDrucker Carol JBurnham Nationwide, Inc.Lend Lease (Us) Construction,","$35,000.00",11/4/2016,2016,11,4,151 N Franklin St,41.8844990,-87.6352330,"42 (ward)LOOP (communityarea)The Loop (neighborhood)60606 (zip)Randolph/Wells (tif)South (township)District 01, Beat 0122 (chipolicebeat)District 1 - Central (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Sonya M. Harper (6th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100674877,2016
INSTALL FREE STANDING LEIBHERR 357 HC-L LITRONIC TOWER CRANE WEST TOWER CRANE - PHASE 1,Robert OwakConnolly Eamonn F.James Mchugh Construction Co,"$30,000.00",11/2/2016,2016,11,2,363 E Wacker Dr,41.8874640,-87.6178600,"42 (ward)LOOP (communityarea)Near East Side (neighborhood)60601 (zip)South (township)District 01, Beat 0114 (chipolicebeat)District 1 - Central (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100675160,2016
INSTALL FREE STANDING LEIBHERR 542 HC-L LITRONIC TOWER CRANE EAST TOWER CRANE - PHASE 1,Robert OwakConnolly Eamonn F.James Mchugh Construction Co,"$30,000.00",10/31/2016,2016,10,31,401 E Wacker Dr,41.8874240,-87.6174820,"42 (ward)LOOP (communityarea)Near East Side (neighborhood)60601 (zip)South (township)District 01, Beat 0114 (chipolicebeat)District 1 - Central (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100675164,2016
"PHASE 1 FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF A LIEBHERR 316 EC-H 12 TEMPORARY TOWER CRANE, AS PER PLANS.","Prasan KaleKohout ChristopherLend Lease (Us) Construction,Pepper Construction Co.","$60,000.00",10/28/2016,2016,10,28,720 S Wells St,41.8728910,-87.6337390,"25 (ward)LOOP (communityarea)South Loop (neighborhood)60605 (zip)River South (tif)South (township)District 01, Beat 0123 (chipolicebeat)District 1 - Central (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Sonya M. Harper (6th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100668274,2016
"WEST SIDE PHASE 1 FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF A LIEBHERR 420 EC-H16 TEMPORARY TOWER CRANE WITH TIE-IN AT LEVEL 18, AS PER PLANS.","Larry KochKohout ChristopherLend Lease (Us) Construction,Goebel Forming, Inc.","$60,000.00",10/20/2016,2016,10,20,451 E Grand Ave,41.8917660,-87.6157510,"42 (ward)NEAR NORTH SIDE (communityarea)Streeterville (neighborhood)60611 (zip)North (township)District 18, Beat 1834 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100650721,2016
